"ID_0","band_0_4","band_5_9","band_10_14","band_15_19","band_20_24","band_25_29","band_30_34","band_35_39","band_40_44","band_45_49","band_50_54","band_55_59","band_60_64","band_65_69","band_70_74","band_75_79","band_80_84","band_85_89","band_90_94","band_95_99"
1,0.15218594355285,0.150740945704974,0.137490007993605,0.11784418618951,0.0938326262067269,0.0756318022505073,0.0633954374961569,0.0514357744573572,0.0403369612002706,0.0319744204636291,0.0253028346553526,0.0198610342495235,0.0152800836254074,0.0115599827830044,0.00694828752382709,0.00381233474758655,0.001690954928365,0.000553403431101273,0.000122978540244727,0
4,0.0639253628196268,0.0535590877677954,0.0677263303386317,0.0891499654457498,0.0939875604699378,0.0798203178991016,0.060124395300622,0.0532135452660677,0.0597788527988943,0.0642709053213545,0.0708362128541811,0.0659986178299931,0.0539046302695231,0.0407740152038701,0.0331720801658604,0.0262612301313061,0.0148583275742916,0.00656530753282654,0.00172771250863856,0.000345542501727712
5,0.115719147863356,0.0962309340728602,0.073440060506744,0.0758855414093029,0.0903819488213791,0.0947686877599899,0.090306315391403,0.0767931425690155,0.0621454682969873,0.0528677675532585,0.0449514685490987,0.0364553132484558,0.0306819614269507,0.0201437035169545,0.015353586285138,0.0118492373629144,0.00753813185427959,0.00332787091894617,0.000958023446363293,0.000201689146602798
8,0.188554072416274,0.157261609783391,0.130724962033411,0.107265606266485,0.0875229797777955,0.0719766605387259,0.0589481256494285,0.0478379026456718,0.0376868355846855,0.0300135880425226,0.0243385820477979,0.0195827671648949,0.0151866357605307,0.00983134841339621,0.0067540564303413,0.00395651826392774,0.00183838222364319,0.000599472464231476,0.000119894492846295,0
11,0.0769230769230769,0.0769230769230769,0.0879120879120879,0.0879120879120879,0.0879120879120879,0.0769230769230769,0.0659340659340659,0.0549450549450549,0.0769230769230769,0.0879120879120879,0.0659340659340659,0.0549450549450549,0.032967032967033,0.021978021978022,0.021978021978022,0.010989010989011,0.010989010989011,0,0,0
12,0.085648468094909,0.0838055747523612,0.0825155494125777,0.0791983413959917,0.0796360285648468,0.0768486523842433,0.0734623358673117,0.0742225293711126,0.0620363971435153,0.0543653536051601,0.0505183137525916,0.0467864547339323,0.0418106427090532,0.0348537203409353,0.0270214236351071,0.0201336097673347,0.0142133149043999,0.00847730937571988,0.00352453351762267,0.0009214466712739
13,0.0685884691848907,0.062624254473161,0.0526838966202783,0.0593108018555335,0.0851557322730285,0.0937707090788602,0.0838303512259775,0.0669317428760769,0.0563286944996687,0.0566600397614314,0.0778661365142478,0.0728959575878065,0.0550033134526176,0.0318091451292246,0.0168986083499006,0.0308151093439364,0.0182239893969516,0.00762094102054341,0.00265076209410205,0.000331345261762757
14,0.0480769230769231,0.0673076923076923,0.0673076923076923,0.0769230769230769,0.0673076923076923,0.0480769230769231,0.0576923076923077,0.0673076923076923,0.0769230769230769,0.0769230769230769,0.0865384615384615,0.0769230769230769,0.0673076923076923,0.0480769230769231,0.0288461538461538,0.0192307692307692,0.00961538461538462,0.00961538461538462,0,0
15,0.0645080530751899,0.0635483601769173,0.0589585245764834,0.0620462321622298,0.0700993073520821,0.0748560460652591,0.0741467078361011,0.0642576984060753,0.071351080697655,0.064299424184261,0.0670950513227072,0.0610448134857715,0.0534507218559626,0.0496536760410582,0.035592088792456,0.0264124175915881,0.0194024868563799,0.0125594592339147,0.0055495284987065,0.00116832178920137
16,0.0473012527807048,0.0464816766186629,0.048354993560473,0.0538578620770402,0.0633415290949537,0.0649806814190376,0.0674394099051633,0.0632244467860906,0.0709518791710572,0.083245521601686,0.0807867931155602,0.0687273153026578,0.0539749443859033,0.0504624751200094,0.0499941458845568,0.0366467626741599,0.0247043671701206,0.016976934785154,0.00749326776724037,0.00105374077976818
